word1,word2,human,SVD
victim,emergency,6.47,0.08899442069804998
treatment,recovery,7.91,0.05065813077574956
journal,association,4.97,0.3052605353555528
doctor,personnel,5.0,0.21525534587292888
doctor,liability,5.19,0.30269509255896454
liability,insurance,7.03,0.6084162403508707
school,center,3.44,0.2304534414695429
reason,hypertension,2.31,-0.004623754879371798
reason,criterion,5.91,0.19536233826673582
hundred,percent,7.38,0.1907052952540063
Harvard,Yale,8.13,0.8215382757696399
hospital,infrastructure,4.63,0.033931425173418725
death,row,5.25,0.25462592759173563
death,inmate,5.03,0.0
lawyer,evidence,6.69,0.034996327878706546
life,death,7.88,0.23410814427251328
life,term,4.5,0.2310325484686418
word,similarity,4.75,-0.009056839626193525
board,recommendation,4.47,0.10442614635314251
governor,interview,3.25,0.007000797672306446
OPEC,country,5.63,0.0
peace,atmosphere,3.69,0.019486401888316983
peace,insurance,2.94,0.03836992031608122
territory,kilometer,5.28,0.034230719696550005
travel,activity,5.0,0.026614081305774574
competition,price,6.44,0.10798785128930885
consumer,confidence,4.13,-0.02952290450686306
consumer,energy,4.75,0.07626455015238359
problem,airport,2.38,0.1343358139062062
car,flight,4.94,0.061233308398279646
credit,card,8.06,0.46609874753045233
credit,information,5.31,0.08988512723238211
hotel,reservation,8.03,-0.023167610459769495
grocery,money,5.94,0.0796999498467518
registration,arrangement,6.0,0.20428066924988347
arrangement,accommodation,5.41,0.4246848351568145
month,hotel,1.81,0.0671450729458888
type,kind,8.97,0.4266856573822789
arrival,hotel,6.0,0.12054596232301464
bed,closet,6.72,0.1057319586013756
closet,clothes,8.0,0.006731170043483597
situation,conclusion,4.81,0.2404584082346714
situation,isolation,3.88,0.04447021664270956
impartiality,interest,5.16,0.0
direction,combination,2.25,0.23263074073722043
street,place,6.44,0.07146678324702824
street,avenue,8.88,0.48955024689460397
street,block,6.88,0.14624407776948387
street,children,4.94,0.02134483068699773
listing,proximity,2.56,-0.004256213549550839
listing,category,6.38,0.10524915704120594
cell,phone,7.81,0.2250856754962905
production,hike,1.75,-0.0008800678577269083
benchmark,index,4.25,0.19503813179339868
media,trading,3.88,0.2046171194498039
media,gain,2.88,0.0705265379593674
dividend,payment,7.63,0.03760259842560035
dividend,calculation,6.48,0.2959843492535764
calculation,computation,8.44,0.5346032496909179
currency,market,7.5,0.18537121200592935
OPEC,oil,8.59,0.0
oil,stock,6.34,0.1629007548572226
announcement,production,3.38,0.07475527416222705
announcement,warning,6.0,0.1774390718158505
profit,warning,3.88,0.13853342617386957
profit,loss,7.63,0.15341985698209112
dollar,yen,7.78,-0.013744231514427852
dollar,buck,9.22,-0.0026465037467580366
dollar,profit,7.38,0.06476265625780947
dollar,loss,6.09,0.005934982494460125
computer,software,8.5,0.6479976784207863
network,hardware,8.31,0.09967175280053076
phone,equipment,7.13,0.09470004580103264
equipment,maker,5.91,0.08754550426829838
luxury,car,6.47,0.5456686402572111
five,month,3.38,0.2656978843737792
report,gain,3.63,0.05273663801977808
investor,earning,7.13,0.3065936324724627
liquid,water,7.89,0.1028094005831148
baseball,season,5.97,0.09148776833451072
game,victory,7.03,0.3007253456632543
game,team,7.69,0.34570909558371055
marathon,sprint,7.47,0.00782634064977121
game,series,6.19,0.2299408842584137
game,defeat,6.97,0.21270550882067799
seven,series,3.56,0.13941022049115656
seafood,sea,7.47,0.006001670520345009
seafood,food,8.34,0.04789777616756184
seafood,lobster,8.7,0.0
lobster,food,7.81,0.0
lobster,wine,5.7,0.0
food,preparation,6.22,0.45169327642448875
video,archive,6.34,-0.00032868270176432586
start,year,4.06,0.23947826135703176
start,match,4.47,0.3816632162737309
game,round,5.97,0.29438742894491665
boxing,round,7.61,0.08445088135969914
championship,tournament,8.36,0.6810698068427617
fighting,defeating,7.41,0.31488049970691234
line,insurance,2.69,-0.03116018995755686
day,summer,3.94,0.16263248498118799
summer,drought,7.16,0.09056449245327337
summer,nature,5.63,0.04417651416830837
day,dawn,7.53,0.17040509957554792
nature,environment,8.31,0.2325168962367074
environment,ecology,8.81,0.09444646299532405
nature,man,6.25,0.08421021237053451
man,woman,8.3,0.7720607580116999
man,governor,5.25,0.00787747180022274
murder,manslaughter,8.53,0.26710867756521667
soap,opera,7.94,0.08558077777349093
opera,performance,6.88,0.18564750485002543
life,lesson,5.94,0.009316382590591579
focus,life,4.06,0.1492229733045807
production,crew,6.25,0.1800214728874032
television,film,7.72,0.3350413098870975
lover,quarrel,6.19,0.24774476455683048
viewer,serial,2.97,0.16198448177260757
possibility,girl,1.94,0.1983911256192162
population,development,3.75,0.18419303756613792
morality,importance,3.31,0.17919246044415976
morality,marriage,3.69,0.051809474932931955
Mexico,Brazil,7.44,0.3343696775250274
gender,equality,6.41,0.5900918013961737
change,attitude,5.44,0.13548234365834003
family,planning,6.25,0.11711780687590707
opera,industry,2.63,-0.03451272481755768
sugar,approach,0.88,-0.0008687942098319462
practice,institution,3.19,0.11910854728895531
ministry,culture,4.69,0.22511697574018538
problem,challenge,6.75,0.14406275552874467
size,prominence,5.31,-0.010319438665146298
country,citizen,7.31,0.10429593588353588
planet,people,5.75,0.044807364998770374
development,issue,3.97,0.06966962996260129
experience,music,3.47,0.05070661186464704
music,project,3.63,0.05049635761166179
glass,metal,5.56,0.083395266195293
aluminum,metal,7.83,0.2294119903669951
chance,credibility,3.88,0.1196598220284488
exhibit,memorabilia,5.31,0.003920708878432144
concert,virtuoso,6.81,0.0
rock,jazz,7.59,0.7672064230836497
museum,theater,7.19,0.18683726220111116
observation,architecture,4.38,0.16976814491393316
space,world,6.53,0.028162514099135727
preservation,world,6.19,0.052195017641623535
admission,ticket,7.69,0.1415960305646867
shower,thunderstorm,6.31,0.9399893948599247
shower,flood,6.03,0.12408749487622397
weather,forecast,8.34,-0.005036696713635607
disaster,area,6.25,0.07192420801291587
governor,office,6.34,0.3312395622617814
architecture,century,3.78,0.0866699756077745
