word1,word2,human,W2V
exhibit,memorabilia,5.31,0.4098983705043793
concert,virtuoso,6.81,0.5821415185928345
rock,jazz,7.59,0.7236804962158203
museum,theater,7.19,0.5123645663261414
observation,architecture,4.38,0.40337786078453064
space,world,6.53,0.3787496089935303
preservation,world,6.19,0.312359482049942
admission,ticket,7.69,0.5505748391151428
shower,thunderstorm,6.31,0.6366105079650879
shower,flood,6.03,0.368096262216568
weather,forecast,8.34,0.5977456569671631
disaster,area,6.25,0.4065382182598114
governor,office,6.34,0.5280225872993469
architecture,century,3.78,0.45313405990600586
